Ticker,Sector,Share_Price,Lot_Size,Lot_Cost,Annual_Lot_Dividend,Dividend_Yield
DDRA,Consumer Cyclical,70.78,100,7078.0,150.85,2.1313
CCS,Consumer Defensive,239.59,100,23959.0,424.94,1.7736
EAZO,Financials,53.05,100,5305.0,176.38,3.3248
AWG,Basic Materials,65.33,100,6533.0,86.47,1.3236
RIX,Industrials,164.94,100,16494.0,327.12,1.9833
FZE,Healthcare,265.74,100,26574.0,409.0,1.5391
UNT,Industrials,164.4,100,16440.0,363.83,2.2131
CVULX,Healthcare,378.67,100,37867.0,1097.92,2.8994
IRSZ,Industrials,211.32,100,21132.0,252.18,1.1934
FTX,Basic Materials,33.1,100,3310.0,39.78,1.2019
FVCS,Consumer Cyclical,302.82,100,30282.0,906.86,2.9947
ZUUR,Basic Materials,60.44,100,6044.0,148.64,2.4594
OZK,Industrials,148.73,100,14873.0,169.09,1.1369
SZTL,Financials,117.09,100,11709.0,501.26,4.281
UZYND,Consumer Defensive,126.38,100,12638.0,460.49,3.6437
KTT,Healthcare,370.96,100,37096.0,1249.92,3.3694
YBKD,Financials,146.52,100,14652.0,560.64,3.8264
YCL,Real Estate,78.54,100,7854.0,539.7,6.8716
WQO,Financials,45.96,100,4596.0,80.15,1.7439
ZUK,Healthcare,317.79,100,31779.0,537.78,1.6922
IQWS,Consumer Cyclical,159.5,100,15950.0,206.55,1.295
MLC,Technology,143.09,100,14309.0,84.68,0.5918
XLK,Healthcare,65.83,100,6583.0,205.28,3.1184
FBE,Consumer Defensive,57.58,100,5758.0,192.74,3.3473
EGM,Consumer Defensive,136.54,100,13654.0,224.02,1.6407
XBX,Energy,191.01,100,19101.0,887.0,4.6437
DBRA,Financials,161.81,100,16181.0,764.15,4.7225
TGA,Healthcare,341.72,100,34172.0,1018.66,2.981
JKHN,Utilities,34.74,100,3474.0,88.32,2.5422
WVD,Energy,106.99,100,10699.0,315.38,2.9477
GSHHA,Financials,26.66,100,2666.0,132.9,4.9851
FSILD,Utilities,56.8,100,5680.0,259.92,4.576
XMW,Technology,205.06,100,20506.0,96.64,0.4713
NNB,Technology,447.96,100,44796.0,1077.33,2.405
OMGGB,Financials,47.75,100,4775.0,181.61,3.8033
GVK,Energy,109.48,100,10948.0,431.93,3.9453
ZNV,Consumer Cyclical,284.05,100,28405.0,804.64,2.8327
LAMM,Communication Services,52.13,100,5213.0,125.14,2.4005
NYKVR,Technology,426.27,100,42627.0,296.59,0.6958
OSOQ,Utilities,69.0,100,6900.0,198.24,2.873
MEWQP,Healthcare,69.06,100,6906.0,64.61,0.9355
RUHBW,Technology,348.69,100,34869.0,565.46,1.6217
XAEVP,Technology,337.93,100,33793.0,826.58,2.446
JHFP,Healthcare,390.55,100,39055.0,644.65,1.6506
YXN,Real Estate,63.59,100,6359.0,364.86,5.7378
CUCJ,Healthcare,287.19,100,28719.0,397.7,1.3848
HVXDW,Industrials,99.51,100,9951.0,250.37,2.5161
KCJM,Healthcare,397.93,100,39793.0,1077.02,2.7065
TNANB,Technology,366.81,100,36681.0,622.14,1.6961
CCJR,Financials,124.43,100,12443.0,503.0,4.0424
VJG,Healthcare,226.31,100,22631.0,400.0,1.7675
AOW,Consumer Cyclical,33.18,100,3318.0,39.11,1.1788
FZD,Industrials,251.38,100,25138.0,563.88,2.2431
ADBQ,Technology,442.2,100,44220.0,573.51,1.2969
MHL,Financials,69.12,100,6912.0,184.7,2.6722
OFNJ,Technology,92.81,100,9281.0,160.11,1.7252
RXUE,Consumer Cyclical,230.04,100,23004.0,264.21,1.1486
ITU,Healthcare,345.76,100,34576.0,766.93,2.2181
LRWD,Financials,117.53,100,11753.0,429.07,3.6507
OUJNJ,Technology,74.51,100,7451.0,87.8,1.1783
USWR,Utilities,79.5,100,7950.0,310.22,3.9021
REUM,Healthcare,59.68,100,5968.0,114.88,1.925
FTR,Communication Services,139.19,100,13919.0,267.13,1.9192
URCN,Basic Materials,115.35,100,11535.0,299.42,2.5958
UBEIR,Industrials,183.88,100,18388.0,265.45,1.4436
VNZI,Healthcare,313.29,100,31329.0,579.55,1.8499
AXP,Basic Materials,71.23,100,7123.0,101.64,1.4269
FVI,Consumer Cyclical,119.65,100,11965.0,101.64,0.8495
BNTQ,Communication Services,182.18,100,18218.0,201.24,1.1046
QNI,Healthcare,128.44,100,12844.0,299.42,2.3312
FWEA,Technology,256.27,100,25627.0,463.32,1.808
PFR,Technology,65.22,100,6522.0,156.96,2.4066
AWI,Technology,312.33,100,31233.0,772.39,2.473
IYJX,Consumer Defensive,141.72,100,14172.0,245.86,1.7348
PHIL,Financials,70.2,100,7020.0,185.08,2.6365
WTDP,Real Estate,111.54,100,11154.0,633.2,5.6769
YWEO,Technology,141.97,100,14197.0,45.04,0.3173
IPOI,Energy,219.11,100,21911.0,834.39,3.8081
DEM,Consumer Cyclical,54.74,100,5474.0,34.75,0.6349
KTXP,Technology,120.36,100,12036.0,291.36,2.4208
HP,Financials,105.65,100,10565.0,264.58,2.5043
HDXSA,Real Estate,83.78,100,8378.0,347.5,4.1477
FEJWN,Technology,237.08,100,23708.0,204.95,0.8645
HJDN,Consumer Cyclical,165.11,100,16511.0,493.9,2.9914
LXO,Healthcare,319.52,100,31952.0,960.48,3.006
UTULF,Basic Materials,53.86,100,5386.0,212.92,3.9531
WYU,Industrials,212.64,100,21264.0,400.82,1.885
IDQVL,Healthcare,200.77,100,20077.0,396.24,1.9736
SNV,Real Estate,46.88,100,4688.0,280.72,5.988
DCN,Industrials,179.9,100,17990.0,214.6,1.1929
JZHPF,Financials,153.85,100,15385.0,641.12,4.1672
XXXI,Industrials,199.32,100,19932.0,471.16,2.3638
UNUKJ,Technology,132.41,100,13241.0,305.25,2.3054
TMKDW,Consumer Defensive,223.44,100,22344.0,435.21,1.9478
VASCL,Basic Materials,92.17,100,9217.0,230.81,2.5042
CZE,Industrials,90.82,100,9082.0,230.85,2.5419
CYE,Consumer Defensive,34.61,100,3461.0,108.34,3.1304
DRDJV,Healthcare,85.94,100,8594.0,248.71,2.894
DKB,Financials,23.73,100,2373.0,69.86,2.944
PUSRA,Communication Services,148.03,100,14803.0,504.88,3.4106
GFJ,Consumer Defensive,190.71,100,19071.0,697.79,3.6589
BZY,Utilities,42.71,100,4271.0,214.64,5.0255
DU,Healthcare,296.64,100,29664.0,512.47,1.7276
OZNNB,Energy,238.9,100,23890.0,789.21,3.3035
OWEL,Industrials,153.91,100,15391.0,193.58,1.2578
BLY,Utilities,60.52,100,6052.0,288.33,4.7642
BFID,Basic Materials,166.07,100,16607.0,581.49,3.5015
FWI,Healthcare,282.56,100,28256.0,325.62,1.1524
ZP,Technology,371.73,100,37173.0,371.0,0.998
MOVE,Energy,124.44,100,12444.0,363.78,2.9233
LPU,Basic Materials,194.29,100,19429.0,502.23,2.585
UKTR,Financials,58.47,100,5847.0,108.08,1.8484
QIUOW,Technology,279.02,100,27902.0,201.8,0.7232
ADA,Financials,142.27,100,14227.0,464.08,3.262
ILF,Consumer Cyclical,150.96,100,15096.0,332.59,2.2032
OHD,Consumer Defensive,134.18,100,13418.0,215.14,1.6034
BDPLK,Healthcare,268.18,100,26818.0,653.3,2.436
SI,Financials,53.17,100,5317.0,218.56,4.1107
RJT,Technology,269.92,100,26992.0,341.58,1.2655
XKMM,Technology,391.64,100,39164.0,939.8,2.3997
VFCO,Industrials,167.04,100,16704.0,348.57,2.0867
MCTXX,Financials,152.73,100,15273.0,644.14,4.2175
RACR,Industrials,187.97,100,18797.0,419.94,2.2341
GMPX,Financials,132.5,100,13250.0,343.86,2.5951
RRAIZ,Consumer Defensive,30.58,100,3058.0,113.2,3.7018
KRFF,Industrials,186.43,100,18643.0,375.05,2.0117
KKA,Industrials,109.45,100,10945.0,313.33,2.8628
CNADE,Basic Materials,70.75,100,7075.0,158.63,2.2421
DYS,Healthcare,159.99,100,15999.0,139.49,0.8719
OHZ,Technology,80.92,100,8092.0,45.77,0.5656
USPJ,Communication Services,162.46,100,16246.0,84.28,0.5188
BSZOU,Technology,51.65,100,5165.0,76.58,1.4827
MMI,Technology,101.13,100,10113.0,42.59,0.4211
UIMK,Healthcare,309.93,100,30993.0,283.52,0.9148
XNM,Industrials,189.72,100,18972.0,360.16,1.8984
BHR,Basic Materials,38.38,100,3838.0,104.15,2.7137
NINBG,Technology,219.87,100,21987.0,100.25,0.4559
NYYO,Consumer Cyclical,297.45,100,29745.0,160.26,0.5388
HEXP,Technology,238.07,100,23807.0,352.44,1.4804
ABR,Healthcare,207.68,100,20768.0,363.77,1.7516
HDXR,Industrials,227.46,100,22746.0,664.73,2.9224
NEDC,Communication Services,73.61,100,7361.0,48.14,0.6539
WIZI,Financials,78.36,100,7836.0,319.46,4.0768
KYK,Consumer Cyclical,231.47,100,23147.0,406.61,1.7566
KFP,Consumer Cyclical,167.47,100,16747.0,99.95,0.5968
ZJTO,Consumer Cyclical,324.3,100,32430.0,260.35,0.8028
ZYWE,Technology,381.66,100,38166.0,407.02,1.0664
IWAHE,Technology,172.15,100,17215.0,381.3,2.2149
CC,Technology,378.93,100,37893.0,907.34,2.3945
JZU,Technology,235.21,100,23521.0,502.8,2.1377
ZFH,Technology,326.32,100,32632.0,580.55,1.7791
UJO,Technology,413.05,100,41305.0,955.28,2.3128
